Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-SP1_Full64; Runtime version X-2025.06-SP1_Full64;  May  4 14:17 2026

 VCS Coverage Metrics Release X-2025.06-SP1_Full64 Copyright (c) 1991-2025 by Synopsys Inc.
[Cycle 15000] PC=0x00 | instr=80000137 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 25000] PC=0x04 | instr=00700093 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 35000] PC=0x08 | instr=00112023 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 45000] PC=0x0c | instr=00d00713 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=1
[Cycle 55000] PC=0x10 | instr=00e12223 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 65000] PC=0x14 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=1 tcm_addra=0
[Cycle 75000] PC=0x18 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=1
[Cycle 85000] PC=0x1c | instr=00012183 | stall=0 | mac_busy=0 | tcm_wea=1 tcm_addra=1
[Cycle 95000] PC=0x20 | instr=00600213 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 105000] PC=0x24 | instr=0000100b | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 115000] PC=0x28 | instr=00000293 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=1
[Cycle 125000] PC=0x2c | instr=0052000b | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 135000] PC=0x30 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 145000] PC=0x34 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=1
[Cycle 155000] PC=0x34 | instr=00000013 | stall=0 | mac_busy=1 | tcm_wea=0 tcm_addra=1
[Cycle 165000] PC=0x34 | instr=00000013 | stall=0 | mac_busy=1 | tcm_wea=0 tcm_addra=1
[Cycle 175000] PC=0x34 | instr=00000013 | stall=0 | mac_busy=1 | tcm_wea=0 tcm_addra=1
[Cycle 185000] PC=0x34 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=1
[Cycle 195000] PC=0x38 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 205000] PC=0x3c | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 215000] PC=0x40 | instr=0000330b | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 225000] PC=0x44 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 235000] PC=0x48 | instr=06300a13 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 245000] PC=0x4c | instr=00412783 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 255000] PC=0x50 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=24
